2017-07-01 10:30:00
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京京汇大厦店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,和合谷(丰台区宋家庄店)
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京唐人街店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京马甸店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京北苑店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京大兴火神庙店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京蓝靛厂店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
b圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
a圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
2017-07-06 10:30:00
shop,北京和平里店
date,2017-07-06 10:30:00
c圈,"{'12:46-13:00': 0, '21:31-21:45': 0, '16:31-16:45': 0, '20:31-20:45': 0, '18:16-18:30': 0, '22:16-22:30': 0, '18:01-18:15': 0, '17:16-17:30': 0, '20:16-20:30': 0, '11:16-11:30': 0, '13:16-13:30': 0, '19:16-19:30': 0, '17:01-17:15': 0, '11:46-12:00': 0, '17:31-17:45': 0, '11:01-11:15': 0, '10:30-10:45': 0, '20:46-21:00': 0, '16:01-16:15': 0, '18:46-19:00': 0, '15:16-15:30': 0, '15:31-15:45': 0, '14:46-15:00': 0, '19:31-19:45': 0, '12:31-12:45': 0, '14:16-14:30': 0, '15:46-16:00': 0, '11:31-11:45': 0, '21:16-21:30': 0, '13:46-14:00': 0, '21:46-22:00': 0, '17:46-18:00': 0, '19:01-19:15': 0, '14:31-14:45': 0, '12:01-12:15': 0, '16:16-16:30': 0, '10:46-11:00': 0, '14:01-14:15': 0, '22:01-22:15': 0, '20:01-20:15': 0, '12:16-12:30': 0, '16:46-17:00': 0, '19:46-20:00': 0, '21:01-21:15': 0, '13:31-13:45': 0, '18:31-18:45': 0, '15:01-15:15': 0, '13:01-13:15': 0}"
